id	title	creator	source_page	license	license_url	commercial_use	attribution_required	decision	source_page_sha256	audited_at_utc
gamelan_court	Java Jurami	SieuAmThanh	https://freesound.org/people/SieuAmThanh/sounds/423647	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	7fad5f9a574de0d1b29b78b82da91665b251556c6185eca5e7157c016edd76bd	2026-07-27T02:26:42+00:00
montreal_bagpipe_parade	crowd ext large bagpipes drums marching bands cheering applause St Patrick's Day parade Montreal, Canada.flac	kyles	https://freesound.org/people/kyles/sounds/453868	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	12f771e9cb13ced40ce7e98bd73db3adf0a96bd8040edd51ce5e5fd09456007a	2026-07-27T02:26:42+00:00
taiko_drummers	Taiko drummers short performance.wav	kyles	https://freesound.org/people/kyles/sounds/629930	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	773599d990cd45a4230009dbcf96aebbc9c76e448f2e7636d7e32d2921039d97	2026-07-27T02:26:42+00:00
tabla_percussion	tabla sound	jasonlee3071	https://freesound.org/people/jasonlee3071/sounds/719950	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	e709b2abd7943fd3857b1a482b3a45eaf3d0134c84a72d5199ab098706701feb	2026-07-27T02:26:42+00:00
cello_improvisation	cello.wav	animatrick	https://freesound.org/people/animatrick/sounds/46711	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	4b13d31e884fab1b169235949a116aa785d8013e3f96d48d9d5f4c0e0edaf595	2026-07-27T02:26:42+00:00
toy_piano_breakdown	Toy Piano Breakdown	p_ano	https://freesound.org/people/p_ano/sounds/200415	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	ad448280bd0b8c9ab80d90ba9b251cab97bf442d7a01d504fdca3139fbac7f5d	2026-07-27T02:26:42+00:00
doepfer_random_melody	Random Melody from Doepfer site	gis_sweden	https://freesound.org/people/gis_sweden/sounds/362764	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	8bbf22f419754afe47eecec5de025d9836b52b24fad5e7832da8af69af7f40f4	2026-07-27T02:26:42+00:00
astana_brass_band	Brass band plays mixture of Russian hit songs at the riverfront of Astana, Jul 16, XY mics.wav	gladkiy	https://freesound.org/people/gladkiy/sounds/350355	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	b04803b792dc54eb6e1ae0659875ec144b9b655dc5686680accdf21aaa9e19d7	2026-07-27T02:26:42+00:00
chopin_string_quartet	File:Chopin - Piano Concerto no. 1, Op. 11 (string quartet)-2.ogg - Wikimedia Commons	Frédéric Chopin	https://commons.wikimedia.org/w/index.php?curid=44144182	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	c842d7300597c1737e8e3332d48d3f2924970e25fa66e7f7d4b307b8e9fd3b3e	2026-07-27T02:26:42+00:00
handpan_strikes	Cinematic Handpan 100bpm.wav	Johnnie_Holiday	https://freesound.org/people/Johnnie_Holiday/sounds/568142	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	53cebc6b551c2cec9218c28f1249db1e1682b778f02b75b9729ffb25f8c2cb54	2026-07-27T02:26:42+00:00
madrid_street_accordion	street musician singing with accordion outdoor tourist dining street Beijing, China.flac	kyles	https://freesound.org/people/kyles/sounds/452410	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	9fa188951960ca436daacb2027a55c9075b59bb9f4b22a477cd05050806991c9	2026-07-27T02:26:42+00:00
blues_harmonica	Harmonica blues.wav	Vibratair	https://freesound.org/people/Vibratair/sounds/403104	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	0ed50beff6f7795a5c742b584d0f01e36dcdee2c4eb783550b9ab147bc5fb9c2	2026-07-27T02:26:42+00:00
electric_mbira	Electric Mbira Samples	nthnh	https://freesound.org/people/nthnh/sounds/485855	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	e91ad15d286d8147901f495c36fb17ec7312fade60205a28041e5b86b81a04c1	2026-07-27T02:26:42+00:00
didgeridoo_shaker_drum	Didgeridoo-t01	Michael-DB	https://freesound.org/people/Michael-DB/sounds/338320	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	457e2a59eeed985400e3cc59bc4622f83c09dc6e399c984e48bf6a41c71cbc0f	2026-07-27T02:26:42+00:00
opera_rehearsal	singerrehearsing.wav	schafferdavid	https://freesound.org/people/schafferdavid/sounds/190951	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	dcdab2b0f32148a83139ea1b5d9bd2148f622ea49c636d97bb35327ccaef3d9e	2026-07-27T02:26:42+00:00
hamburg_church_bells	Sunset peal of a bell at birkenhau	bruno.auzet	https://freesound.org/people/bruno.auzet/sounds/547982	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	5b5187a6e677a76e033f11f082bd34bb7f3ddfd66767fd469524f04a6b36aa0e	2026-07-27T02:26:42+00:00
seoul_sanchon_drum	Tokyo - Drum Circle in Yoyogi Park	manuke	https://freesound.org/people/manuke/sounds/315885	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	8e0000b236633b8d88f2a21a610d1f484eca581d283d65c1effe6ae4d4b8be3a	2026-07-27T02:26:42+00:00
marching_band	music marching band playing outdoor show nearby heavy echo2 Cuernavaca, Mexico.flac	kyles	https://freesound.org/people/kyles/sounds/629843	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	d402356a8bce97188ee328e609c93e111e6deb5e60fcdc83da3b805492cd7ee7	2026-07-27T02:26:42+00:00
big_band_warmup	BigBand_WarmUp_2.wav	rambler52	https://freesound.org/people/rambler52/sounds/399039	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	d8ead9e799f6299643452a3f542a39a272d9779b464c4c6de348f22250edc192	2026-07-27T02:26:42+00:00
spanish_guitar_improvisation	Spanishy Guitar Thing.wav	TheScriabin	https://freesound.org/people/TheScriabin/sounds/404952	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	a7d031d5eeb253d1708b70280427953fcbd1d1771b27b758586d93656550f6ed	2026-07-27T02:26:42+00:00
christe_choir	Dark Choir Singing	BrainClaim	https://freesound.org/people/BrainClaim/sounds/273804	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	9c767a6a055615e16f56d3bb7ded5581b5c5e117d553cd47c20c6faf79480a07	2026-07-27T02:26:42+00:00
prospect_drum_circle	Drum circle in Prospect Park, Brooklyn during celebrations following US election	jeffreylamoureux	https://freesound.org/people/jeffreylamoureux/sounds/548158	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	4a1084a3f364a629f37f93db4ae09eea2492e0bcf3cc04c8c1ca2bd06f5529ab	2026-07-27T02:26:42+00:00
techno_loco	Cyber Race.mp3	jammerboy70	https://freesound.org/people/jammerboy70/sounds/398640	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	092fbdecb07139063fc182640a31d10bd288dac6d7bda4e8449bd65bfb943b56	2026-07-27T02:26:42+00:00
gifu_pipe_organ	Pipe Organ Rehearsal, theme park Little World Gifu Japan	AGFX	https://freesound.org/people/AGFX/sounds/735541	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	3ccfc6103b1c30c23d22cded4ff84d7eb7fa5584e8fff24cc2f1f859bd4a84d4	2026-07-27T02:26:42+00:00
thunder_mountain	roller coaster.aif	Bruce Burbank	https://freesound.org/people/Bruce%20Burbank/sounds/136596	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	7ebd9ea01221542f1e720758ad76b72363cfc0e9bd4ad42a7829801afeec53ea	2026-07-27T02:26:42+00:00
inside_car_wash	Car wash sound from inside car.m4a	konradgu	https://freesound.org/people/konradgu/sounds/521226	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	b8bb82ad92ececbed7629d3ff88acf15b6a5354e992a24437935eeef07f144a1	2026-07-27T02:26:42+00:00
peru_new_year_fireworks	New Years Eve in Peru: fireworks, fire-crackers and rockets to celebrate the New Year (Pisco, Peru, 2012)	felix.blume	https://freesound.org/people/felix.blume/sounds/140350	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	0d463cb83dc01b9b6b99ca61e449cecd6e01e515b22bff815d916c883ec65f13	2026-07-27T02:26:42+00:00
efteling_steam_train	steam-train-leaving-moor-st-station.wav	keithpeter	https://freesound.org/people/keithpeter/sounds/125211	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	b0190ea65bbad11b0c0235c672a7f0bc5ccf3afd813ecf441acbd7669977cfc0	2026-07-27T02:26:42+00:00
helicopter_takeoff	Small Helicopter Takes Off	senorstudy	https://freesound.org/people/senorstudy/sounds/172649	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	1345cf0fdda06eb74691b83e4d46b4e3d7d0c2b628fe4f4ee62b9225d5bab92b	2026-07-27T02:26:42+00:00
scuba_bubbles	Scuba_bubbles.mp3	sbvitug	https://freesound.org/people/sbvitug/sounds/634225	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	62f65cf5aa03db243659535dda8bf8e81000c2a2af78b7111a889d2f859928b5	2026-07-27T02:26:42+00:00
building_demolition	Demolition, Building Side	Kinoton	https://freesound.org/people/Kinoton/sounds/495269	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	507fa0278d13336f7293bd5c062999377f7b3f24897f76431579f16b5a6239ee	2026-07-27T02:26:42+00:00
finnish_blacksmith	Blacksmith Workshop.WAV	thefilmbakery	https://freesound.org/people/thefilmbakery/sounds/137836	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	39ff91e7b036707258bff8ab111dd374a648237ba81208834edc5f9d7264a2f9	2026-07-27T02:26:42+00:00
cattle_auction	131101 Auctioneer voice, cattle, crowd, royal winter fair	TRP	https://freesound.org/people/TRP/sounds/717434	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	b0c6174cb8b1a7e7e25c84116e23717451cbaf8c00c957c54ed30b073cd5f512	2026-07-27T02:26:42+00:00
ferry_alarm	red_funnel_car_deck_ramp.wav	richwise	https://freesound.org/people/richwise/sounds/440628	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	c41f48a7a8ea1132b255d6f4cb4599917ef4bc3e62cf89921931fcb56c72bde1	2026-07-27T02:26:42+00:00
flooded_mine	boleskine house flooded basement	LolitaPerdurabo	https://freesound.org/people/LolitaPerdurabo/sounds/394596	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	f0ab66c3d2b2673f2d315c470c497d21f362ef04867e50037824b701a69dceb9	2026-07-27T02:26:42+00:00
