source_page	download_url	creator	license	license_url	source_page_sha256	used_by
https://bigsoundbank.com/roadworks-1-s0631.html	https://bigsoundbank.com/UPLOAD/mp3/0631.mp3	Joseph Sardin	CC0 1.0	https://bigsoundbank.com/licenses.html	1724ec09cc04b517fca3abdf14dccb578642375268700529eeb0388b1c5016a4	conv1/roadworks_long;conv2/roadworks_long;conv3/roadworks_long
https://bigsoundbank.com/roadworks-4-s1637.html	https://bigsoundbank.com/UPLOAD/mp3/1637.mp3	Joseph Sardin	CC0 1.0	https://bigsoundbank.com/licenses.html	01630d2f8cbc196c33317b32e02aac4c94e2cde63ff852a714cbfa9285db89dc	conv1/roadworks_saw_long;conv2/roadworks_saw_long;conv3/roadworks_saw_long
https://bigsoundbank.com/rue-d-aubervilliers-s2722.html	https://bigsoundbank.com/UPLOAD/mp3/2722.mp3	Joseph Sardin	CC0 1.0	https://bigsoundbank.com/licenses.html	82a228fe2a030f7b3f370db71feee9458f1dc50f96d834960e583bd9919ef1f2	conv1/aubervilliers_street_long;conv2/aubervilliers_street_long;conv3/aubervilliers_street_long
https://bigsoundbank.com/sawmill-1-s1536.html	https://bigsoundbank.com/UPLOAD/mp3/1536.mp3	Joseph Sardin	CC0 1.0	https://bigsoundbank.com/licenses.html	59844f5db2a8e6c227d8cc0a352869f31c77063df139343ca8670e5a7fc71974	conv1/sawmill_one;conv2/sawmill_one;conv3/sawmill_one
https://bigsoundbank.com/sawmill-2-s1537.html	https://bigsoundbank.com/UPLOAD/mp3/1537.mp3	Joseph Sardin	CC0 1.0	https://bigsoundbank.com/licenses.html	3db9fc8b028cb566571ab93ebade3307b536090f50cf3dfc41c606db78a72400	conv1/sawmill_two;conv2/sawmill_two;conv3/sawmill_two
https://bigsoundbank.com/sea-waves-and-seagulls-s0267.html	https://bigsoundbank.com/UPLOAD/mp3/0267.mp3	Denis Chardonnet	CC0 1.0	https://bigsoundbank.com/licenses.html	d4d74535d9aeafa6b99793fafa520961ce53e6fd3298d8bf234cfa85532df3b1	conv1/sea_terns_long;conv2/sea_terns_long;conv3/sea_terns_long
https://bigsoundbank.com/small-waves-froth-and-beach-s1447.html	https://bigsoundbank.com/UPLOAD/mp3/1447.mp3	Joseph Sardin	CC0 1.0	https://bigsoundbank.com/licenses.html	1a96d4c96e4ba8ddce33bc3d0e3c1bb29b07c1508d4c3a0244ff7a32dc6f3022	conv1/beach_froth_long;conv2/beach_froth_long;conv3/beach_froth_long
https://bigsoundbank.com/soundscape-at-st-lazare-station-s3029.html	https://bigsoundbank.com/UPLOAD/mp3/3029.mp3	Joseph Sardin	CC0 1.0	https://bigsoundbank.com/licenses.html	3238ef2e74aca1bb525d47b94dd470105906d8eab6af36f5448ffa7478e8705b	conv1/st_lazare_station_long;conv2/st_lazare_station_long;conv3/st_lazare_station_long
https://bigsoundbank.com/street-and-roads-s0608.html	https://bigsoundbank.com/UPLOAD/mp3/0608.mp3	Joseph Sardin	CC0 1.0	https://bigsoundbank.com/licenses.html	2747d7713fe6b013c37f34a3b46e257f4066d883bd3e79c257434b440b5a4e67	conv1/street_roads_long;conv2/street_roads_long;conv3/street_roads_long
https://bigsoundbank.com/technical-room-of-an-industry-s0504.html	https://bigsoundbank.com/UPLOAD/mp3/0504.mp3	Joseph Sardin	CC0 1.0	https://bigsoundbank.com/licenses.html	97cdab48fba3a5ed7363aaa13caeecd9ca216e8266f3cb835217b4e2eafeb22f	conv1/technical_room;conv2/technical_room;conv3/technical_room
