id	title	creator	source_page	license	license_url	commercial_use	attribution_required	decision	source_page_sha256	audited_at_utc
marina_boats_long	marina boat NL 1.05PM 220801_0469	klankbeeld	https://freesound.org/people/klankbeeld/sounds/684099	Attribution 4.0	https://creativecommons.org/licenses/by/4.0/	yes	yes	accepted: commercial use with attribution	670057a4848c7d3d3fd4bef728a0850a965caeee651fc6b68e0c5d5ac87cff19	2026-07-26T23:46:55+00:00
busy_kitchen_short	Dutch busy walla people indoors restaurant kitchen sounds.wav	hz37	https://freesound.org/people/hz37/sounds/463302	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	fd3a42a2c0cb03b53ec3f083e8c43e4b6c0e98b72e132fc71fecb4f6f3409e70	2026-07-26T23:46:55+00:00
fast_food_long	Fast Food Restaurant	lauramellis	https://freesound.org/people/lauramellis/sounds/271443	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	b8ffcc3d3b1258452e33f8efde2d1cb4d5c3f9ac646192efb64f48e767d1f2f4	2026-07-26T23:46:55+00:00
school_canteen_short	Big Canteen Ambience- 300 people having lunch together. Wav File for use.	meetvasude1	https://freesound.org/people/meetvasude1/sounds/719054	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	2aa12a29156a9104380f23fe260d8cf2f5770f3a36c23a33005d972c36800a45	2026-07-26T23:46:55+00:00
cafeteria_long	Cafeteria.mp3	GaryQ	https://freesound.org/people/GaryQ/sounds/128291	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	3e02eaf52db30b0451b66fe280c6a170ef2b2e84e9df1e1c563cb6e73bb22ab0	2026-07-26T23:46:55+00:00
church_bell_short	9am church bell St Jan Den-Bosch.wav	klankbeeld	https://freesound.org/people/klankbeeld/sounds/252765	Attribution 4.0	https://creativecommons.org/licenses/by/4.0/	yes	yes	accepted: commercial use with attribution	1ec48a41c02a39fe228207037f9e2c51cbde7ec3429efb28fb413c5b84e3c50c	2026-07-26T23:46:55+00:00
cathedral_room_long	cathedral ambience 02.flac	klankbeeld	https://freesound.org/people/klankbeeld/sounds/170689	Attribution 4.0	https://creativecommons.org/licenses/by/4.0/	yes	yes	accepted: commercial use with attribution	bc0fbab18c6a3de2852384302ff8890042a2249b9decf6df30c91a8c276d6700	2026-07-26T23:46:55+00:00
bowling_short	bowling alley ambience.wav	Tomlija	https://freesound.org/people/Tomlija/sounds/99562	Attribution 3.0	https://creativecommons.org/licenses/by/3.0/	yes	yes	accepted: commercial use with attribution	ecad57eb14436cbaadf372935ad1fc7a7fd412227801285c33d49cf8fe8a0904	2026-07-26T23:46:55+00:00
bowling_room_long	Bowling Alley Ambience	moviebuffgavin	https://freesound.org/people/moviebuffgavin/sounds/398078	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	333aa1d05f354fb7d256b68eb9fccbddadaba7d4fe0b283d8004a164e16ed5d1	2026-07-26T23:46:55+00:00
arcade_walkaround_short	acradeambience2.wav	morgantj	https://freesound.org/people/morgantj/sounds/58319	Attribution 4.0	https://creativecommons.org/licenses/by/4.0/	yes	yes	accepted: commercial use with attribution	ed3f20d1744b9e00cae6368d692ee90d7e806e29da3c0dc34c29dd59535e20bf	2026-07-26T23:46:55+00:00
super_arcade_long	Super Arcade.wav	BloodPixelHero	https://freesound.org/people/BloodPixelHero/sounds/507767	Attribution 4.0	https://creativecommons.org/licenses/by/4.0/	yes	yes	accepted: commercial use with attribution	020c5d872a153f0421352db8ce0120ec2acc23e198840fc170de2fcd830cff90	2026-07-26T23:46:55+00:00
pachinko_short	AkasakaPachinkoParlorLunchtime_4micsStereoExpanded.wav	markystar	https://freesound.org/people/markystar/sounds/79088	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	2475fe68e12d7e37fe5b29f8f41222c5cb6004562b096b30f93126a73488afad	2026-07-26T23:46:55+00:00
casino_floor_long	casino_ambiance_02.wav	joedeshon	https://freesound.org/people/joedeshon/sounds/118854	Attribution 4.0	https://creativecommons.org/licenses/by/4.0/	yes	yes	accepted: commercial use with attribution	86dea880138c1fbe5821a4654ca6073bddd5db7e80c2531fbeb13de9c80bc43d	2026-07-26T23:46:55+00:00
transformer_short	Transformer 100 hz.wav	michael_kur95	https://freesound.org/people/michael_kur95/sounds/331309	Attribution 3.0	https://creativecommons.org/licenses/by/3.0/	yes	yes	accepted: commercial use with attribution	599cb566605d1b77d88b282ba842ada96bbbb8852b4c99af7fc8857135b04403	2026-07-26T23:46:55+00:00
substation_room_long	Scary substation 02.wav	michael_kur95	https://freesound.org/people/michael_kur95/sounds/331321	Attribution 3.0	https://creativecommons.org/licenses/by/3.0/	yes	yes	accepted: commercial use with attribution	a36f84c1e6e3e483272d6a21937958a83ce99fc92ba4c277334ab80decd46651	2026-07-26T23:46:55+00:00
washer_coins_short	loading coins into washer jingle cup drop coins	PostProdDog	https://freesound.org/people/PostProdDog/sounds/537809	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	4d728d43728284b8e37c09f0a44c9025a6f7805896a894d329887597ea3de505	2026-07-26T23:46:55+00:00
laundrette_long	Laundrette Ambience.wav	theplax	https://freesound.org/people/theplax/sounds/546471	Attribution 4.0	https://creativecommons.org/licenses/by/4.0/	yes	yes	accepted: commercial use with attribution	1f4d94a30b8a36a4b56d66d34b59c3dd716b6d947980516049fc43bcc2e9826e	2026-07-26T23:46:55+00:00
printing_rhythm_short	printing press room rythmic machine sounds.flac	kyles	https://freesound.org/people/kyles/sounds/637767	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	81b5b9d4dda3be00fd8348a241db988cc099deab6d9d55899a3c00a6efa71599	2026-07-26T23:46:55+00:00
printing_hall_long	180619_BerlinKoenigsdruck_WA_RearHall_ST.wav	blaukreuz	https://freesound.org/people/blaukreuz/sounds/440124	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	275bc9f4f0852298f49eea5f3e4d7f317195352556095066a570c9ab565ba488	2026-07-26T23:46:55+00:00
metal_grinder_short	grinder on metal.wav	jchiledred	https://freesound.org/people/jchiledred/sounds/445829	Attribution 4.0	https://creativecommons.org/licenses/by/4.0/	yes	yes	accepted: commercial use with attribution	6e080742731f7756f2acca9c06b1908b056878c390e2761b4de6fde72b397bd4	2026-07-26T23:46:55+00:00
metal_workshop_long	metal workshop grinding welding hammering voices quebecois2 Val d'or, Quebec, Canada.flac	kyles	https://freesound.org/people/kyles/sounds/635608	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	483d3ccff78f92ad80f86b495f3fc435aeedf935bbd52a72f44f9246961975a0	2026-07-26T23:46:55+00:00
ren_faire_short	Ren Faire Ambient 2.m4a	alexyquest42	https://freesound.org/people/alexyquest42/sounds/661289	Attribution 4.0	https://creativecommons.org/licenses/by/4.0/	yes	yes	accepted: commercial use with attribution	f260d44450398085c27f6a8e6cc83e4bc4b5fa2a526206a80d9cc17946c9820b	2026-07-26T23:46:55+00:00
tropical_carnival_long	230129_2336-2_FR_TropicalCarnival.wav	kevp888	https://freesound.org/people/kevp888/sounds/676281	Attribution 4.0	https://creativecommons.org/licenses/by/4.0/	yes	yes	accepted: commercial use with attribution	2c09717b413deff6d041b685290df54bb604c2c74a5d3d94a502bedd523c7fe0	2026-07-26T23:46:55+00:00
protest_fx_short	Protest chant FX	fredzed	https://freesound.org/people/fredzed/sounds/321577	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	3e45ca8a125c52ffc813a65e2cfb5c80c14ca4260f37a14287928b6664ef0563	2026-07-26T23:46:55+00:00
climate_strike_long	Protesting Crowd, Climate Strike, Guildford, 01-01.wav	InspectorJ	https://freesound.org/people/InspectorJ/sounds/485621	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	2e935ad941f3e1f96f826d4d6321ca2f51bc70aaf31d75d83e5be22b2f6fc7a3	2026-07-26T23:46:55+00:00
male_choir_short	male choir tuning chords.wav	uair01	https://freesound.org/people/uair01/sounds/90411	Attribution 3.0	https://creativecommons.org/licenses/by/3.0/	yes	yes	accepted: commercial use with attribution	e82e162aaf44b6f8c1c7e5ffa8d752264b4804eb1cd097eefbf3be8b08a69ff4	2026-07-26T23:46:55+00:00
choir_notes_long	choir random notes.wav	uair01	https://freesound.org/people/uair01/sounds/90407	Attribution 3.0	https://creativecommons.org/licenses/by/3.0/	yes	yes	accepted: commercial use with attribution	80443867d4abc5e89d50a3d201d9d3612288839608a8c9f8265e01573311afa5	2026-07-26T23:46:55+00:00
shortwave_noise_short	Short Wave Radio Noise 1	zmobie	https://freesound.org/people/zmobie/sounds/257880	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	acbeca7dcee8faf184bd2cda7c177e84cd084790591369e370e5726f60675419	2026-07-26T23:46:55+00:00
shortwave_tones_long	Shortwave radio static & tones	nakkivene66	https://freesound.org/people/nakkivene66/sounds/583364	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	8982f969d7e97d25d7a0d254a45520275d1d48a395c82a5460cc8fed1f20f1ab	2026-07-26T23:46:55+00:00
