id	palette	topic	role	seconds	trim_start	title	creator	source_page	download_url	license	license_url	source_page_sha256	media_sha256	advertised_duration_seconds	decoded_duration_seconds	used_by
drift_rain_roof_l	drift	rain_roof	long	30	10	Rain on roof 0001.wav	frenkfurth	https://freesound.org/people/frenkfurth/sounds/650428	https://cdn.freesound.org/previews/650/650428_13558226-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	8a575319478e722c091d05ba986fc2b973433090b3b66e4ef2bf4b60a64c318b	2b0aa09dfbfe3f2ee641ce75a286454e26b01ee77eaebbbfa62693ba8930c0b2	630.359000	630.358625	drift;tideforge
drift_rain_roof_s	drift	rain_roof	short	12	5	Rain on roof 0002.wav	frenkfurth	https://freesound.org/people/frenkfurth/sounds/650427	https://cdn.freesound.org/previews/650/650427_13558226-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	0ae00ba047da28125f038e16df8cf972126b3be1c0b9fcd1a7bb661c6d3618b7	a5772d5e452b813c85aa9551b63b3b7adb3ce19c58c087cfecccdb1e61aca219	1801.220000	17.100000	drift;tideforge
drift_pine_wind_l	drift	pine_wind	long	30	10	Wind in a pine tree, constant, with some birds and cricket, slight gust of wind at the evening in a little woods in the forest in New Mexico	felix.blume	https://freesound.org/people/felix.blume/sounds/655501	https://cdn.freesound.org/previews/655/655501_1661766-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	9de3a184f842f4157bba796a1ee3f544bdabf98fa1e8c84202e8228d3466593d	55707a6f80f54c1bcebdace836fd266a1ce75439564d5532a2feeef04c6fbf27	262.365000	262.364583	drift
drift_pine_wind_s	drift	pine_wind	short	12	5	Wind and Ambient in Pine Forest.mp3	setcookie	https://freesound.org/people/setcookie/sounds/654566	https://cdn.freesound.org/previews/654/654566_691380-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	d3e56b4e5868d40098b8eaf03056e0137edfb8a350bf5fbe22356af58650f8f3	05b9059909fdec72faa974e880ceada06c462bebd3c856f097ea22d6af7addec	120.527000	120.526667	drift
drift_rustling_leaves_l	drift	rustling_leaves	long	30	2.036	Leaves Rustling in Wind - Zoom H6.wav	lunchmoney	https://freesound.org/people/lunchmoney/sounds/378725	https://cdn.freesound.org/previews/378/378725_6692504-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	c860a2494acb718c7e7f41151c79ac6eb84f9a5035b2850f0dcb9db6a489b389	c5bbdbbe3d2ed12271af1a4fd3e58a27a02ac10ece96c1ac4d1f9e4de24f4ee5	36.108000	36.108000	drift;tideforge
drift_rustling_leaves_s	drift	rustling_leaves	short	12	5	Forest, trees rustling in the wind.wav	arpeggio1980	https://freesound.org/people/arpeggio1980/sounds/523389	https://cdn.freesound.org/previews/523/523389_2010973-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	3f10e0ff8d33bc293344da4562c853ec638f251acfdaae4094e4feba96bfd93a	80eb06d3a6b4d8e00f89d9cd20f4d0262b90714ca7bf4603238ec5e51d8e5b2c	139.520000	139.520000	drift;tideforge
drift_meadow_l	drift	meadow	long	30	10	Rural Vermont Morning	muses212	https://freesound.org/people/muses212/sounds/585809	https://cdn.freesound.org/previews/585/585809_1045209-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	b74d1cd19b76e31d0cc94d446243693dd2b1f27ad18195866fd2b16d89ce041f	0bd4a67511407edf60b8ce6da08f17a74c19a19b87ebc7c9bb52ded6a4fb8304	172.948000	172.948000	drift
drift_meadow_s	drift	meadow	short	12	5	Sussex Woodland & Meadow Bird Sounds, Evening.MP3	Vonora	https://freesound.org/people/Vonora/sounds/269559	https://cdn.freesound.org/previews/269/269559_5126800-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	456e8e2c785613747a1d9f3b158076308817c263cf674c6e50d2ee13418432f3	d7dd12e952e1e2eef6d9f1dba4c52a7b3fb7195177334fb2516818089b57a660	145.459000	145.459469	drift
drift_mountain_wind_l	drift	mountain_wind	long	30	10	Ambience Mountain Outdoor Mirador Torrebaro	bitlab_coop	https://freesound.org/people/bitlab_coop/sounds/486894	https://cdn.freesound.org/previews/486/486894_9872712-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	99d65651544ca32a5125b4191452c78b307ddfed4492b3602561f83fe99274a3	f98494cde39941c202992718ae85f7cc768a034f3c58773d0115aa4b91d713a5	171.513000	171.512563	drift;tideforge
drift_mountain_wind_s	drift	mountain_wind	short	12	5	Ambience Mountain Outdoor Mirador Horta	bitlab_coop	https://freesound.org/people/bitlab_coop/sounds/486891	https://cdn.freesound.org/previews/486/486891_9872712-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	bccc57218d08a6c29aa734d25e0a1b207300d2ff0a11910bd1033601b3cb6e4f	9c017248c018173b2a1a584713a13b3cff3b0510e01acfd2da8eac23685c2e1b	277.774000	277.774104	drift;tideforge
drift_desert_wind_l	drift	desert_wind	long	30	3.714	Looping Gentle Wind Ambience on an Open Desert Plain.wav	dhallcomposer	https://freesound.org/people/dhallcomposer/sounds/697217	https://cdn.freesound.org/previews/697/697217_7678208-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	c587446cd493e4e4235ed5c776fad3ffad52078f0678425b27f5f1db3a39b235	cf0ee0f0ac5a8b9e90e389de33446b7c70f0e18f162b86ae1ecc361199a87b8a	41.142000	41.142854	drift
